site code,latitude,longitude,biblio code,amal per,presv,samp count,divrs,barley awn,barley lemma bases,barley rachis,culm nodes,f-t wheat rachis,gw glume bases,wheat indet rachis,cereal indet grain,barley grain,f-t wheat grain,gw grain,millet,oat grain,wheat indet gr,wild einkorn,caper,cucumber,date,fig,grape,hazelnut,olive,pear,pistachio,pomegranate,flax/linseed,sesame,bitter vetch,celtic bean,chickpea,common pea,grass pea,lentil,coriander,cumin,wild/weed
agra,33.34,44.46,"Jacobsen, 1982",Uruk,imp,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muqa,30.56,46.08,"Jacobsen, 1982",Ubaid,imp,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
muqa,30.56,46.08,"Ellison, 1978",E Dynastic,cpr,9,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1
muqa,30.56,46.08,"Jacobsen, 1982",E Dynastic,imp,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muqa,30.56,46.08,"Ellison, 1978",E Dynastic,imp/m,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
muqa,30.56,46.08,"Ellison, 1978",Akkadian,cpr,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muqa,30.56,46.08,"Jacobsen, 1982",Akkadian,imp,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muqa,30.56,46.08,"Jacobsen, 1982",O Babylon,imp,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muqa,30.56,46.08,"Ellison, 1978",Neo Assyrian,cpr,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aquf,33.24,44.18,"Jacobsen, 1982",Kassite,imp,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
