site code,biblio code,amal per,presv,samp count,divrs,barley awn,barley lemma bases,barley rachis,culm nodes,f-t wheat rachis,gw glume bases,wheat indet rachis,cereal indet grain,barley grain,f-t wheat grain,gw grain,millet,oat grain,wheat indet gr,wild einkorn,caper,cucumber,date,fig,grape,hazelnut,olive,pear,pistachio,pomegranate,flax/linseed,sesame,bitter vetch,celtic bean,chickpea,common pea,grass pea,lentil,coriander,cumin,wild/weed
agra,"Jacobsen, 1982",4,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
muqa,"Jacobsen, 1982",3,imp,2,3,,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,
muqa,"Ellison, 1978",5,cpr,9,6,,,,,,,,,2,,,,,2,,,,3,,,,,3,,,,,,,,1,,,,,1
muqa,"Jacobsen, 1982",5,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
muqa,"Ellison, 1978",5,imp/m,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
muqa,"Ellison, 1978",6,cpr,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
muqa,"Jacobsen, 1982",6,imp,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
muqa,"Jacobsen, 1982",7,imp,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
muqa,"Ellison, 1978",9,cpr,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquf,"Jacobsen, 1982",8,imp,2,2,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
arpa,"Hubbard, 1980",2,cpr,1,5,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1
arpa,"Jacobsen, 1982",2,imp,2,5,,,,,,,,,1,,2,,,,,,,,,,,,,,,1,,,,,1,,1,,,
arpa,"Jacobsen, 1982",3,cpr,3,2,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,
arpa,"Jacobsen, 1982",3,imp,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
asma,"Jacobsen, 1982",6,imp,1,3,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
baby,"Jacobsen, 1982",9,imp,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
bazm,"Jacobsen, 1982; Helbaek, 1963",7,cpr,4,6,,,,,,,,,3,4,4,,,,,,,,,,,,,,,,,,,2,,,3,,,1
bazm,"Helbaek, 1963",8,cpr,3,6,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,3,,,3,,,3
bazm,Helbaek 1963,11,cpr,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
bazm,Helbaek 1963,"6,7",cpr,1,5,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,1
bism,"Jacobsen, 1982",10,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
chir,"Helbaek, 1960 anc",4,cpr,1,5,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,1
chog,"Helbaek, 1972 sam",2,cpr,7,10,,,7,,,4,,,,5,5,,,,,2,,,,,,,,5,,7,,,,,3,,7,,,7
