CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"29990","NO20SE 5","Balfarg","Grave (Period Unassigned), Henge (Neol/bronze Age), Inhumation (Period Unassigned), Standing Stone(S) (Prehistoric), Timber Circle (Neolithic), Beaker, Unidentified Pottery (Neolithic)","328198","703123","FIFE","FIFE","MARKINCH","NO 28198 03123","http://canmore.org.uk/site/29990",
"26006","NN91NW 18","North Mains, Strathallan","Henge (Neol/bronze Age), Timber Circle(S) (Neolithic)","292850","716250","PERTH AND KINROSS","PERTHSHIRE","BLACKFORD","NN 9285 1625","http://canmore.org.uk/site/26006",
"12776","NH55NE 5","Culbokie","Henge (Neol/bronze Age)","259450","857790","HIGHLAND","ROSS AND CROMARTY","URQUHART AND LOGIE WESTER","NH 5945 5779","http://canmore.org.uk/site/12776",
"12781","NH55NW 1","Conon Bridge","Henge (Neol/bronze Age)","254290","855070","HIGHLAND","ROSS AND CROMARTY","URQUHART AND LOGIE WESTER","NH 5429 5507","http://canmore.org.uk/site/12781",
"16231","NJ16SE 4","Quarry Wood","Henge (Neol/bronze Age)","318580","863060","MORAY","MORAYSHIRE","SPYNIE","NJ 1858 6306","http://canmore.org.uk/site/16231",
"17295","NJ43SW 1","Wormy Hillock","Henge (Neol/bronze Age)","344982","830770","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 44982 30770","http://canmore.org.uk/site/17295",
"67148","NY27SW 19","Broadlea","Henge (Neol/bronze Age)","321946","574651","DUMFRIES AND GALLOWAY","DUMFRIES-SHIRE","MIDDLEBIE","NY 21946 74651","http://canmore.org.uk/site/67148",
"12470","NH45NW 1","Achilty","Henge (Neol/bronze Age)","244110","856920","HIGHLAND","ROSS AND CROMARTY","CONTIN","NH 4411 5692","http://canmore.org.uk/site/12470",
"12670","NH54NW 12","Castle Hill, Muir Of Ord","Henge (Neol/bronze Age)","252729","849715","HIGHLAND","ROSS AND CROMARTY","URRAY (ROSS AND CROMARTY)","NH 52729 49715","http://canmore.org.uk/site/12670",
"14025","NH69SW 36","Loch Migdale","Henge (Neol/bronze Age)","262420","891600","HIGHLAND","SUTHERLAND","CREICH (SUTHERLAND)","NH 6242 9160","http://canmore.org.uk/site/14025",
"18621","NJ71NE 6","Broomend Of Crichie","Cist(S) (Period Unassigned), Henge (Neol/bronze Age), Stone Circle (Neol/bronze Age), Timber Circle (Bronze Age), Battleaxe, Cinerary Urn(S)","377920","819670","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7792 1967","http://canmore.org.uk/site/18621",
"28012","NO11NW 11","Moncreiffe House","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric), Henge (Neol/bronze Age), Metal Working Site (Period Unassigned), Stone Circle (Neol/bronze Age), Timber Circle (Neol/bronze Age), Unidentified Pottery (Neolithic)","313280","719330","PERTH AND KINROSS","PERTHSHIRE","DUNBARNEY","NO 1328 1933","http://canmore.org.uk/site/28012",
"39458","NR89NW 18","Ballymeanoch","Cist (Period Unassigned), Henge (Neol/bronze Age), Beaker","183317","696277","ARGYLL AND BUTE","ARGYLL","KILMICHAEL GLASSARY","NR 83317 96277","http://canmore.org.uk/site/39458",
"47386","NS92SE 11","Normangill","Henge (Neol/bronze Age)","297250","622120","SOUTH LANARKSHIRE","LANARKSHIRE","CRAWFORD","NS 9725 2212","http://canmore.org.uk/site/47386",
"54577","NT45SE 10","Overhowden","Henge (Neol/bronze Age)","348690","652270","SCOTTISH BORDERS, THE","BERWICKSHIRE","CHANNELKIRK","NT 4869 5227","http://canmore.org.uk/site/54577",
"65681","NX97SE 13","Pict's Knowe","Henge (Neol/bronze Age), Ard","295380","572130","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHTSHIRE","TROQUEER (KIRKCUDBRIGHTSHIRE)","NX 9538 7213","http://canmore.org.uk/site/65681",
